Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-6973.243	-7395.754	422.5118	2.203821	2.712072
6	-7254.929	-7677.89	422.9609	1.754742	2.712072
12	-7226.624	-7644.083	417.4597	1.657414	5.899971
18	-7034.677	-7456.895	422.2172	1.692826	3.197136
24	-7071.95	-7494.952	423.0016	1.717439	2.710008
30	-7021.91	-7444.235	422.3249	2.070847	2.906673
36	-7126.09	-7548.608	422.5185	1.851059	2.922486
42	-7396.397	-7820.352	423.9545	2.472899	1.588831
48	-7398.632	-7821.712	423.0805	2.141599	2.397142
54	-7372.509	-7795.842	423.3335	2.257355	2.160876
60	-7506.264	-7930.542	424.2781	2.76189	1.09756
66	-7511.089	-7935.159	424.0699	2.433231	1.53313
72	-7172.612	-7596.601	423.9889	2.514227	1.53313
78	-7068.246	-7487.302	419.0566	2.216433	4.709272
84	-7182.028	-7605.285	423.2565	1.914898	2.429074
90	-7330.816	-7753.545	422.7286	2.032646	2.684099
96	-7204.286	-7626.279	421.9927	2.171873	3.045579
102	-7253.646	-7675.564	421.9176	2.852705	2.678517
108	-7343.001	-7764.235	421.2346	2.392331	3.364187
114	-7622.551	-8046.443	423.892	2.721301	1.450235
120	-7679.965	-8103.599	423.6343	2.381953	1.878017
126	-7556.724	-7980.175	423.4514	2.235714	2.09794
132	-7394.402	-7816.354	421.9518	1.72122	3.337094
138	-7306.882	-7727.58	420.6978	1.632868	4.11273
144	-7518.546	-7938.89	420.3443	1.986355	4.11273
150	-7251.208	-7674.905	423.6968	2.080248	2.038664
156	-7221.474	-7645.218	423.7436	1.894975	2.129732
162	-7109.528	-7533.601	424.0727	1.994482	1.843216
168	-7156.934	-7580.813	423.8798	1.994482	1.973933
174	-7303.246	-7727.795	424.5495	2.223021	1.325799
180	-7410.664	-7834.606	423.9425	2.165422	1.815144
186	-7467.072	-7891.393	424.3207	1.978904	1.680927
192	-7266.95	-7689.939	422.9888	1.754955	2.694818
198	-7291.487	-7715.69	424.2037	1.824216	1.870054
204	-7566.834	-7991.533	424.6994	2.304445	1.130411
210	-7554.427	-7977.096	422.6685	2.277893	2.569738
216	-7487.846	-7911.267	423.4206	1.923435	2.319775
222	-7431.529	-7853.276	421.7468	1.60642	3.524254
228	-7399.789	-7820.17	420.381	1.606721	4.307335
234	-7524.968	-7947.238	422.2692	1.629394	3.203901
240	-7448.996	-7869.817	420.8217	2.238057	3.694565
246	-7566.154	-7987.431	421.2771	1.798863	3.685239
252	-7483.816	-7904.919	421.1029	1.973069	3.685239
258	-7548.06	-7970.748	422.6879	1.761362	2.874316
264	-7556.01	-7978.396	422.3858	1.761362	3.056015
270	-7534.039	-7956.354	422.315	2.02317	2.941399
276	-7576.712	-8000.149	423.4365	1.979815	2.273519
282	-7440.41	-7864.005	423.5954	1.911204	2.215454
288	-7430.796	-7854.522	423.7257	2.305407	1.867891
294	-7356.22	-7776.268	420.0482	2.589634	3.937363
300	-7321.129	-7745.701	424.5726	2.589634	0.979656
306	-7318.932	-7743.462	424.5301	2.483465	1.121667
312	-7238.524	-7662.68	424.1555	2.409207	1.487056
318	-7234.015	-7658.044	424.0287	2.232675	1.708028
324	-7282.264	-7705.676	423.4127	2.214288	2.137288
330	-7407.988	-7832.084	424.0966	2.301889	1.60986
336	-7528.986	-7953.006	424.0196	2.296328	1.669288
342	-7695.179	-8119.7	424.5211	2.70159	0.9155906
348	-7665.329	-8089.862	424.533	2.689714	0.9155906
354	-7492.83	-7917.057	424.2273	2.264218	1.541729
360	-7640.81	-8064.584	423.7736	2.467337	1.722467
